"V1","V2","V3","V4","V5"
"-1","2010","Athens, GA, USA","5","11"
"-4","2010","Athens, GA, USA","-1","3"
"-7","2010","Athens, GA, USA","-1","4"
"-7","2010","Athens, GA, USA","-1","4"
"-7","2010","Athens, GA, USA","-2","3"
"-7","2010","Athens, GA, USA","0","6"
"-4","2010","Athens, GA, USA","2","9"
"-7","2010","Athens, GA, USA","-3","1"
"-9","2010","Athens, GA, USA","-3","3"
"-9","2010","Athens, GA, USA","-3","3"
"-8","2010","Athens, GA, USA","0","8"
"-3","2010","Athens, GA, USA","3","8"
"-7","2010","Athens, GA, USA","2","10"
"-6","2010","Athens, GA, USA","4","14"
"-4","2010","Athens, GA, USA","7","17"
"3","2010","Athens, GA, USA","6","9"
"8","2010","Athens, GA, USA","13","17"
"6","2010","Athens, GA, USA","12","18"
"5","2010","Athens, GA, USA","12","19"
"6","2010","Athens, GA, USA","14","22"
"3","2010","Athens, GA, USA","8","13"
"3","2010","Athens, GA, USA","6","9"
"5","2010","Athens, GA, USA","6","7"
"6","2010","Athens, GA, USA","12","18"
"6","2010","Athens, GA, USA","9","13"
"1","2010","Athens, GA, USA","6","10"
"-3","2010","Athens, GA, USA","6","13"
"-1","2010","Athens, GA, USA","8","17"
"2","2010","Athens, GA, USA","6","9"
"-1","2010","Athens, GA, USA","1","2"
"-2","2010","Athens, GA, USA","3","7"
"-5","2010","Athens, GA, USA","3","10"
"3","2010","Athens, GA, USA","6","8"
"1","2010","Athens, GA, USA","8","14"
"2","2010","Athens, GA, USA","3","4"
"2","2010","Athens, GA, USA","3","3"
"1","2010","Athens, GA, USA","4","7"
"-1","2010","Athens, GA, USA","5","11"
"-4","2010","Athens, GA, USA","4","12"
"0","2010","Athens, GA, USA","5","9"
"-5","2010","Athens, GA, USA","-1","3"
"-3","2010","Athens, GA, USA","3","8"
"-1","2010","Athens, GA, USA","1","3"
"-6","2010","Athens, GA, USA","-1","4"
"-4","2010","Athens, GA, USA","4","11"
"-2","2010","Athens, GA, USA","3","7"
"-5","2010","Athens, GA, USA","-1","3"
"-4","2010","Athens, GA, USA","2","7"
"-3","2010","Athens, GA, USA","5","12"
"-1","2010","Athens, GA, USA","7","15"
"-3","2010","Athens, GA, USA","7","17"
"-1","2010","Athens, GA, USA","10","21"
"7","2010","Athens, GA, USA","11","14"
"3","2010","Athens, GA, USA","9","14"
"0","2010","Athens, GA, USA","6","11"
"-4","2010","Athens, GA, USA","1","6"
"-4","2010","Athens, GA, USA","3","9"
"-1","2010","Athens, GA, USA","6","13"
"0","2010","Athens, GA, USA","6","11"
"-2","2010","Athens, GA, USA","6","14"
"1","2010","Athens, GA, USA","4","8"
"-1","2010","Athens, GA, USA","4","9"
"-2","2010","Athens, GA, USA","5","12"
"-2","2010","Athens, GA, USA","6","13"
"-3","2010","Athens, GA, USA","6","16"
"-3","2010","Athens, GA, USA","7","17"
"4","2010","Athens, GA, USA","14","23"
"3","2010","Athens, GA, USA","14","24"
"8","2010","Athens, GA, USA","11","13"
"9","2010","Athens, GA, USA","13","16"
"10","2010","Athens, GA, USA","13","16"
"6","2010","Athens, GA, USA","10","14"
"4","2010","Athens, GA, USA","9","13"
"6","2010","Athens, GA, USA","12","18"
"4","2010","Athens, GA, USA","11","18"
"7","2010","Athens, GA, USA","9","11"
"7","2010","Athens, GA, USA","13","19"
"4","2010","Athens, GA, USA","14","24"
"4","2010","Athens, GA, USA","14","24"
"8","2010","Athens, GA, USA","13","17"
"4","2010","Athens, GA, USA","7","10"
"1","2010","Athens, GA, USA","11","19"
"7","2010","Athens, GA, USA","16","26"
"7","2010","Athens, GA, USA","14","21"
"8","2010","Athens, GA, USA","13","17"
"7","2010","Athens, GA, USA","12","18"
"10","2010","Athens, GA, USA","17","24"
"7","2010","Athens, GA, USA","13","18"
"4","2010","Athens, GA, USA","13","22"
"6","2010","Athens, GA, USA","16","27"
"8","2010","Athens, GA, USA","19","30"
"8","2010","Athens, GA, USA","19","30"
"12","2010","Athens, GA, USA","20","28"
"12","2010","Athens, GA, USA","21","29"
"14","2010","Athens, GA, USA","23","31"
"12","2010","Athens, GA, USA","22","31"
"12","2010","Athens, GA, USA","21","28"
"13","2010","Athens, GA, USA","17","20"
"7","2010","Athens, GA, USA","14","21"
"3","2010","Athens, GA, USA","13","23"
"5","2010","Athens, GA, USA","15","24"
"8","2010","Athens, GA, USA","18","27"
"8","2010","Athens, GA, USA","17","27"
"9","2010","Athens, GA, USA","18","27"
"12","2010","Athens, GA, USA","19","27"
"12","2010","Athens, GA, USA","21","30"
"13","2010","Athens, GA, USA","21","28"
"9","2010","Athens, GA, USA","17","24"
"7","2010","Athens, GA, USA","14","22"
"11","2010","Athens, GA, USA","14","17"
"10","2010","Athens, GA, USA","17","23"
"9","2010","Athens, GA, USA","18","26"
"11","2010","Athens, GA, USA","20","29"
"16","2010","Athens, GA, USA","19","21"
"16","2010","Athens, GA, USA","22","27"
"13","2010","Athens, GA, USA","17","21"
"9","2010","Athens, GA, USA","14","19"
"6","2010","Athens, GA, USA","13","21"
"6","2010","Athens, GA, USA","15","24"
"8","2010","Athens, GA, USA","18","28"
"17","2010","Athens, GA, USA","22","27"
"19","2010","Athens, GA, USA","26","31"
"20","2010","Athens, GA, USA","22","24"
"18","2010","Athens, GA, USA","23","28"
"16","2010","Athens, GA, USA","23","29"
"16","2010","Athens, GA, USA","23","31"
"16","2010","Athens, GA, USA","24","31"
"14","2010","Athens, GA, USA","21","26"
"9","2010","Athens, GA, USA","17","23"
"9","2010","Athens, GA, USA","14","20"
"12","2010","Athens, GA, USA","19","26"
"15","2010","Athens, GA, USA","22","29"
"18","2010","Athens, GA, USA","24","31"
"19","2010","Athens, GA, USA","25","31"
"19","2010","Athens, GA, USA","25","31"
"17","2010","Athens, GA, USA","23","29"
"19","2010","Athens, GA, USA","24","28"
"17","2010","Athens, GA, USA","23","28"
"14","2010","Athens, GA, USA","21","27"
"12","2010","Athens, GA, USA","20","28"
"17","2010","Athens, GA, USA","21","24"
"17","2010","Athens, GA, USA","23","28"
"17","2010","Athens, GA, USA","24","32"
"18","2010","Athens, GA, USA","23","28"
"17","2010","Athens, GA, USA","23","28"
"17","2010","Athens, GA, USA","24","31"
"18","2010","Athens, GA, USA","26","33"
"18","2010","Athens, GA, USA","26","33"
"19","2010","Athens, GA, USA","24","29"
"19","2010","Athens, GA, USA","23","27"
"20","2010","Athens, GA, USA","24","28"
"19","2010","Athens, GA, USA","24","30"
"20","2010","Athens, GA, USA","26","31"
"19","2010","Athens, GA, USA","25","31"
"20","2010","Athens, GA, USA","26","31"
"19","2010","Athens, GA, USA","26","32"
"21","2010","Athens, GA, USA","26","31"
"18","2010","Athens, GA, USA","24","29"
"17","2010","Athens, GA, USA","23","29"
"19","2010","Athens, GA, USA","26","32"
"21","2010","Athens, GA, USA","27","32"
"22","2010","Athens, GA, USA","28","33"
"22","2010","Athens, GA, USA","27","33"
"23","2010","Athens, GA, USA","29","34"
"23","2010","Athens, GA, USA","29","36"
"21","2010","Athens, GA, USA","29","37"
"21","2010","Athens, GA, USA","27","33"
"21","2010","Athens, GA, USA","27","33"
"21","2010","Athens, GA, USA","27","33"
"21","2010","Athens, GA, USA","27","33"
"22","2010","Athens, GA, USA","28","34"
"22","2010","Athens, GA, USA","28","34"
"22","2010","Athens, GA, USA","28","34"
"22","2010","Athens, GA, USA","28","35"
"23","2010","Athens, GA, USA","28","34"
"22","2010","Athens, GA, USA","29","36"
"21","2010","Athens, GA, USA","28","34"
"23","2010","Athens, GA, USA","29","34"
"23","2010","Athens, GA, USA","29","35"
"22","2010","Athens, GA, USA","28","34"
"22","2010","Athens, GA, USA","26","29"
"21","2010","Athens, GA, USA","26","31"
"22","2010","Athens, GA, USA","26","29"
"17","2010","Athens, GA, USA","23","29"
"16","2010","Athens, GA, USA","24","31"
"17","2010","Athens, GA, USA","24","32"
"18","2010","Athens, GA, USA","26","33"
"20","2010","Athens, GA, USA","28","36"
"21","2010","Athens, GA, USA","29","37"
"23","2010","Athens, GA, USA","31","38"
"22","2010","Athens, GA, USA","28","34"
"23","2010","Athens, GA, USA","29","36"
"22","2010","Athens, GA, USA","27","32"
"22","2010","Athens, GA, USA","28","34"
"22","2010","Athens, GA, USA","28","34"
"23","2010","Athens, GA, USA","28","34"
"23","2010","Athens, GA, USA","28","34"
"22","2010","Athens, GA, USA","27","32"
"22","2010","Athens, GA, USA","28","33"
"21","2010","Athens, GA, USA","28","34"
"23","2010","Athens, GA, USA","29","36"
"24","2010","Athens, GA, USA","30","36"
"23","2010","Athens, GA, USA","30","37"
"24","2010","Athens, GA, USA","32","39"
"24","2010","Athens, GA, USA","31","37"
"23","2010","Athens, GA, USA","31","38"
"23","2010","Athens, GA, USA","32","39"
"23","2010","Athens, GA, USA","30","37"
"23","2010","Athens, GA, USA","31","37"
"24","2010","Athens, GA, USA","31","37"
"24","2010","Athens, GA, USA","31","38"
"23","2010","Athens, GA, USA","29","36"
"23","2010","Athens, GA, USA","29","35"
"23","2010","Athens, GA, USA","27","30"
"24","2010","Athens, GA, USA","28","32"
"23","2010","Athens, GA, USA","29","36"
"24","2010","Athens, GA, USA","30","36"
"23","2010","Athens, GA, USA","29","36"
"23","2010","Athens, GA, USA","28","32"
"23","2010","Athens, GA, USA","29","35"
"22","2010","Athens, GA, USA","29","36"
"22","2010","Athens, GA, USA","29","36"
"23","2010","Athens, GA, USA","29","36"
"23","2010","Athens, GA, USA","30","37"
"23","2010","Athens, GA, USA","31","37"
"24","2010","Athens, GA, USA","27","31"
"24","2010","Athens, GA, USA","29","33"
"24","2010","Athens, GA, USA","28","33"
"24","2010","Athens, GA, USA","28","32"
"23","2010","Athens, GA, USA","29","34"
"23","2010","Athens, GA, USA","29","34"
"24","2010","Athens, GA, USA","28","32"
"23","2010","Athens, GA, USA","26","29"
"23","2010","Athens, GA, USA","29","34"
"23","2010","Athens, GA, USA","28","33"
"21","2010","Athens, GA, USA","27","32"
"21","2010","Athens, GA, USA","26","31"
"22","2010","Athens, GA, USA","27","32"
"21","2010","Athens, GA, USA","27","32"
"22","2010","Athens, GA, USA","27","32"
"21","2010","Athens, GA, USA","26","31"
"18","2010","Athens, GA, USA","24","30"
"18","2010","Athens, GA, USA","26","34"
"17","2010","Athens, GA, USA","26","34"
"19","2010","Athens, GA, USA","27","34"
"19","2010","Athens, GA, USA","27","34"
"16","2010","Athens, GA, USA","23","29"
"12","2010","Athens, GA, USA","21","31"
"13","2010","Athens, GA, USA","23","32"
"17","2010","Athens, GA, USA","25","33"
"18","2010","Athens, GA, USA","26","34"
"21","2010","Athens, GA, USA","27","33"
"21","2010","Athens, GA, USA","27","32"
"20","2010","Athens, GA, USA","27","33"
"19","2010","Athens, GA, USA","26","32"
"16","2010","Athens, GA, USA","23","31"
"13","2010","Athens, GA, USA","23","32"
"16","2010","Athens, GA, USA","24","33"
"17","2010","Athens, GA, USA","24","32"
"21","2010","Athens, GA, USA","27","33"
"20","2010","Athens, GA, USA","27","33"
"18","2010","Athens, GA, USA","26","33"
"17","2010","Athens, GA, USA","27","36"
"17","2010","Athens, GA, USA","26","36"
"19","2010","Athens, GA, USA","27","33"
"18","2010","Athens, GA, USA","26","33"
"16","2010","Athens, GA, USA","24","33"
"18","2010","Athens, GA, USA","26","34"
"17","2010","Athens, GA, USA","20","23"
"14","2010","Athens, GA, USA","20","26"
"13","2010","Athens, GA, USA","19","26"
"14","2010","Athens, GA, USA","18","22"
"15","2010","Athens, GA, USA","20","25"
"13","2010","Athens, GA, USA","20","27"
"10","2010","Athens, GA, USA","17","24"
"11","2010","Athens, GA, USA","17","23"
"9","2010","Athens, GA, USA","15","21"
"5","2010","Athens, GA, USA","13","22"
"7","2010","Athens, GA, USA","16","23"
"6","2010","Athens, GA, USA","17","27"
"10","2010","Athens, GA, USA","18","27"
"9","2010","Athens, GA, USA","19","28"
"11","2010","Athens, GA, USA","20","29"
"11","2010","Athens, GA, USA","21","30"
"15","2010","Athens, GA, USA","22","28"
"14","2010","Athens, GA, USA","21","27"
"11","2010","Athens, GA, USA","17","23"
"6","2010","Athens, GA, USA","15","24"
"4","2010","Athens, GA, USA","14","23"
"4","2010","Athens, GA, USA","16","26"
"6","2010","Athens, GA, USA","16","26"
"8","2010","Athens, GA, USA","18","27"
"12","2010","Athens, GA, USA","18","24"
"8","2010","Athens, GA, USA","17","26"
"8","2010","Athens, GA, USA","16","24"
"6","2010","Athens, GA, USA","15","24"
"9","2010","Athens, GA, USA","18","27"
