"V1","V2","V3","V4","V5"
"5","2010","Jacksonville, FL, USA","11","16"
"-1","2010","Jacksonville, FL, USA","5","11"
"-3","2010","Jacksonville, FL, USA","2","6"
"-3","2010","Jacksonville, FL, USA","3","9"
"-3","2010","Jacksonville, FL, USA","2","7"
"-6","2010","Jacksonville, FL, USA","2","9"
"-5","2010","Jacksonville, FL, USA","4","14"
"1","2010","Jacksonville, FL, USA","4","7"
"-6","2010","Jacksonville, FL, USA","-1","3"
"-6","2010","Jacksonville, FL, USA","1","7"
"-7","2010","Jacksonville, FL, USA","2","11"
"-5","2010","Jacksonville, FL, USA","4","13"
"-3","2010","Jacksonville, FL, USA","5","13"
"-2","2010","Jacksonville, FL, USA","8","17"
"2","2010","Jacksonville, FL, USA","11","20"
"9","2010","Jacksonville, FL, USA","15","21"
"13","2010","Jacksonville, FL, USA","18","23"
"8","2010","Jacksonville, FL, USA","13","18"
"4","2010","Jacksonville, FL, USA","13","21"
"5","2010","Jacksonville, FL, USA","13","22"
"14","2010","Jacksonville, FL, USA","17","19"
"10","2010","Jacksonville, FL, USA","17","23"
"10","2010","Jacksonville, FL, USA","13","16"
"12","2010","Jacksonville, FL, USA","19","26"
"10","2010","Jacksonville, FL, USA","16","22"
"5","2010","Jacksonville, FL, USA","12","18"
"1","2010","Jacksonville, FL, USA","9","17"
"1","2010","Jacksonville, FL, USA","11","20"
"4","2010","Jacksonville, FL, USA","12","19"
"9","2010","Jacksonville, FL, USA","15","21"
"3","2010","Jacksonville, FL, USA","6","9"
"4","2010","Jacksonville, FL, USA","10","16"
"10","2010","Jacksonville, FL, USA","13","16"
"6","2010","Jacksonville, FL, USA","9","13"
"6","2010","Jacksonville, FL, USA","13","19"
"13","2010","Jacksonville, FL, USA","18","23"
"8","2010","Jacksonville, FL, USA","12","16"
"2","2010","Jacksonville, FL, USA","7","11"
"0","2010","Jacksonville, FL, USA","7","15"
"3","2010","Jacksonville, FL, USA","11","17"
"1","2010","Jacksonville, FL, USA","7","13"
"-1","2010","Jacksonville, FL, USA","4","10"
"3","2010","Jacksonville, FL, USA","6","8"
"1","2010","Jacksonville, FL, USA","6","10"
"-2","2010","Jacksonville, FL, USA","7","15"
"2","2010","Jacksonville, FL, USA","11","19"
"0","2010","Jacksonville, FL, USA","6","11"
"-3","2010","Jacksonville, FL, USA","5","12"
"-2","2010","Jacksonville, FL, USA","6","14"
"1","2010","Jacksonville, FL, USA","10","19"
"3","2010","Jacksonville, FL, USA","12","21"
"2","2010","Jacksonville, FL, USA","12","22"
"11","2010","Jacksonville, FL, USA","16","21"
"10","2010","Jacksonville, FL, USA","17","23"
"5","2010","Jacksonville, FL, USA","11","16"
"-1","2010","Jacksonville, FL, USA","5","11"
"-3","2010","Jacksonville, FL, USA","6","14"
"0","2010","Jacksonville, FL, USA","7","14"
"1","2010","Jacksonville, FL, USA","9","17"
"1","2010","Jacksonville, FL, USA","11","19"
"6","2010","Jacksonville, FL, USA","13","19"
"4","2010","Jacksonville, FL, USA","9","14"
"0","2010","Jacksonville, FL, USA","7","13"
"-1","2010","Jacksonville, FL, USA","8","16"
"-2","2010","Jacksonville, FL, USA","8","18"
"-1","2010","Jacksonville, FL, USA","8","18"
"2","2010","Jacksonville, FL, USA","12","23"
"6","2010","Jacksonville, FL, USA","14","23"
"7","2010","Jacksonville, FL, USA","17","26"
"17","2010","Jacksonville, FL, USA","19","21"
"15","2010","Jacksonville, FL, USA","19","22"
"12","2010","Jacksonville, FL, USA","17","22"
"7","2010","Jacksonville, FL, USA","13","18"
"9","2010","Jacksonville, FL, USA","14","18"
"6","2010","Jacksonville, FL, USA","12","19"
"7","2010","Jacksonville, FL, USA","11","14"
"9","2010","Jacksonville, FL, USA","13","16"
"6","2010","Jacksonville, FL, USA","15","24"
"6","2010","Jacksonville, FL, USA","16","24"
"11","2010","Jacksonville, FL, USA","16","21"
"7","2010","Jacksonville, FL, USA","13","18"
"5","2010","Jacksonville, FL, USA","13","21"
"7","2010","Jacksonville, FL, USA","16","24"
"10","2010","Jacksonville, FL, USA","17","24"
"12","2010","Jacksonville, FL, USA","19","26"
"10","2010","Jacksonville, FL, USA","14","18"
"12","2010","Jacksonville, FL, USA","18","23"
"11","2010","Jacksonville, FL, USA","17","23"
"8","2010","Jacksonville, FL, USA","16","23"
"8","2010","Jacksonville, FL, USA","17","27"
"9","2010","Jacksonville, FL, USA","19","29"
"9","2010","Jacksonville, FL, USA","19","28"
"11","2010","Jacksonville, FL, USA","20","28"
"11","2010","Jacksonville, FL, USA","20","29"
"13","2010","Jacksonville, FL, USA","22","31"
"13","2010","Jacksonville, FL, USA","21","29"
"17","2010","Jacksonville, FL, USA","23","29"
"17","2010","Jacksonville, FL, USA","23","30"
"9","2010","Jacksonville, FL, USA","17","24"
"6","2010","Jacksonville, FL, USA","16","25"
"13","2010","Jacksonville, FL, USA","19","24"
"12","2010","Jacksonville, FL, USA","18","23"
"11","2010","Jacksonville, FL, USA","18","24"
"11","2010","Jacksonville, FL, USA","18","25"
"11","2010","Jacksonville, FL, USA","17","23"
"9","2010","Jacksonville, FL, USA","18","26"
"12","2010","Jacksonville, FL, USA","20","28"
"13","2010","Jacksonville, FL, USA","20","27"
"11","2010","Jacksonville, FL, USA","17","23"
"8","2010","Jacksonville, FL, USA","17","25"
"13","2010","Jacksonville, FL, USA","21","27"
"12","2010","Jacksonville, FL, USA","20","28"
"12","2010","Jacksonville, FL, USA","22","31"
"18","2010","Jacksonville, FL, USA","24","29"
"21","2010","Jacksonville, FL, USA","24","26"
"16","2010","Jacksonville, FL, USA","23","29"
"11","2010","Jacksonville, FL, USA","19","28"
"7","2010","Jacksonville, FL, USA","16","24"
"8","2010","Jacksonville, FL, USA","17","26"
"17","2010","Jacksonville, FL, USA","23","28"
"21","2010","Jacksonville, FL, USA","26","32"
"22","2010","Jacksonville, FL, USA","28","34"
"23","2010","Jacksonville, FL, USA","28","34"
"22","2010","Jacksonville, FL, USA","27","32"
"22","2010","Jacksonville, FL, USA","26","30"
