"V1","V2","V3","V4","V5"
"-4","2010","Knoxville, TN, USA","1","6"
"-9","2010","Knoxville, TN, USA","-5","-2"
"-11","2010","Knoxville, TN, USA","-7","-3"
"-10","2010","Knoxville, TN, USA","-7","-3"
"-11","2010","Knoxville, TN, USA","-6","-2"
"-11","2010","Knoxville, TN, USA","-6","-1"
"-8","2010","Knoxville, TN, USA","-4","0"
"-11","2010","Knoxville, TN, USA","-8","-5"
"-13","2010","Knoxville, TN, USA","-8","-3"
"-8","2010","Knoxville, TN, USA","-5","-2"
"-10","2010","Knoxville, TN, USA","-4","2"
"-6","2010","Knoxville, TN, USA","-2","1"
"-8","2010","Knoxville, TN, USA","-2","5"
"-7","2010","Knoxville, TN, USA","1","9"
"-4","2010","Knoxville, TN, USA","6","14"
"-1","2010","Knoxville, TN, USA","4","9"
"6","2010","Knoxville, TN, USA","9","11"
"4","2010","Knoxville, TN, USA","9","13"
"2","2010","Knoxville, TN, USA","9","16"
"10","2010","Knoxville, TN, USA","12","14"
"7","2010","Knoxville, TN, USA","12","16"
"7","2010","Knoxville, TN, USA","8","10"
"7","2010","Knoxville, TN, USA","9","12"
"6","2010","Knoxville, TN, USA","12","17"
"2","2010","Knoxville, TN, USA","6","11"
"-2","2010","Knoxville, TN, USA","1","2"
"-2","2010","Knoxville, TN, USA","2","6"
"2","2010","Knoxville, TN, USA","7","12"
"-1","2010","Knoxville, TN, USA","1","3"
"-4","2010","Knoxville, TN, USA","-1","1"
"-6","2010","Knoxville, TN, USA","-2","2"
"-6","2010","Knoxville, TN, USA","0","6"
"1","2010","Knoxville, TN, USA","3","4"
"-1","2010","Knoxville, TN, USA","3","7"
"-1","2010","Knoxville, TN, USA","2","4"
"3","2010","Knoxville, TN, USA","5","7"
"0","2010","Knoxville, TN, USA","3","6"
"-1","2010","Knoxville, TN, USA","1","2"
"-1","2010","Knoxville, TN, USA","3","7"
"-4","2010","Knoxville, TN, USA","3","9"
"-6","2010","Knoxville, TN, USA","-3","-1"
"-3","2010","Knoxville, TN, USA","0","3"
"-3","2010","Knoxville, TN, USA","-2","0"
"-7","2010","Knoxville, TN, USA","-2","2"
"-3","2010","Knoxville, TN, USA","0","3"
"-4","2010","Knoxville, TN, USA","-1","2"
"-6","2010","Knoxville, TN, USA","-3","-1"
"-3","2010","Knoxville, TN, USA","-2","0"
"-2","2010","Knoxville, TN, USA","3","7"
"-3","2010","Knoxville, TN, USA","4","11"
"-4","2010","Knoxville, TN, USA","5","14"
"-2","2010","Knoxville, TN, USA","8","18"
"7","2010","Knoxville, TN, USA","10","13"
"2","2010","Knoxville, TN, USA","6","8"
"-4","2010","Knoxville, TN, USA","1","4"
"-4","2010","Knoxville, TN, USA","-1","2"
"-7","2010","Knoxville, TN, USA","0","7"
"-4","2010","Knoxville, TN, USA","1","6"
"1","2010","Knoxville, TN, USA","2","3"
"1","2010","Knoxville, TN, USA","4","7"
"1","2010","Knoxville, TN, USA","2","3"
"-1","2010","Knoxville, TN, USA","1","3"
"-1","2010","Knoxville, TN, USA","4","9"
"-5","2010","Knoxville, TN, USA","2","9"
"-4","2010","Knoxville, TN, USA","4","12"
"-4","2010","Knoxville, TN, USA","5","14"
"2","2010","Knoxville, TN, USA","11","20"
"2","2010","Knoxville, TN, USA","12","21"
"7","2010","Knoxville, TN, USA","13","18"
"6","2010","Knoxville, TN, USA","11","16"
"7","2010","Knoxville, TN, USA","11","14"
"4","2010","Knoxville, TN, USA","7","9"
"6","2010","Knoxville, TN, USA","7","8"
"6","2010","Knoxville, TN, USA","8","9"
"6","2010","Knoxville, TN, USA","8","10"
"6","2010","Knoxville, TN, USA","8","10"
"7","2010","Knoxville, TN, USA","12","18"
"3","2010","Knoxville, TN, USA","12","21"
"3","2010","Knoxville, TN, USA","12","22"
"6","2010","Knoxville, TN, USA","13","19"
"1","2010","Knoxville, TN, USA","4","7"
"1","2010","Knoxville, TN, USA","9","18"
"4","2010","Knoxville, TN, USA","13","22"
"8","2010","Knoxville, TN, USA","12","15"
"3","2010","Knoxville, TN, USA","7","11"
"0","2010","Knoxville, TN, USA","9","19"
"11","2010","Knoxville, TN, USA","14","17"
"7","2010","Knoxville, TN, USA","9","11"
"7","2010","Knoxville, TN, USA","12","17"
"2","2010","Knoxville, TN, USA","13","23"
"6","2010","Knoxville, TN, USA","17","28"
"8","2010","Knoxville, TN, USA","19","29"
"14","2010","Knoxville, TN, USA","19","24"
"9","2010","Knoxville, TN, USA","18","26"
"12","2010","Knoxville, TN, USA","21","29"
"17","2010","Knoxville, TN, USA","24","30"
"17","2010","Knoxville, TN, USA","22","27"
"10","2010","Knoxville, TN, USA","16","21"
