"day","mean.temp","high","low","month","year","date"
1,3,8.8,-3.3,1,2010,2010-01-01
2,4.8,11.9,-0.7,1,2010,2010-01-02
3,3.1,8.8,-3.4,1,2010,2010-01-03
4,3.5,9.1,-0.3,1,2010,2010-01-04
5,5.8,13.4,1.1,1,2010,2010-01-05
6,5.2,10.4,0.3,1,2010,2010-01-06
7,5.1,11.5,-2.6,1,2010,2010-01-07
8,5,11.3,0,1,2010,2010-01-08
9,5,11.3,0.3,1,2010,2010-01-09
10,4.7,11.8,-2.2,1,2010,2010-01-10
11,3.5,5.9,1,1,2010,2010-01-11
12,1.7,NA,NA,1,2010,2010-01-12
13,3.3,7.9,-2.8,1,2010,2010-01-13
14,1.1,7.4,-4.6,1,2010,2010-01-14
15,0.9,7.6,-4.8,1,2010,2010-01-15
16,1.9,6.5,-2.4,1,2010,2010-01-16
17,2.7,9.9,-3.2,1,2010,2010-01-17
18,1.9,9,-3.8,1,2010,2010-01-18
19,5.4,14.6,-3.3,1,2010,2010-01-19
20,7.6,16.5,-0.6,1,2010,2010-01-20
21,9.4,18.6,5,1,2010,2010-01-21
22,4.8,10.5,-0.7,1,2010,2010-01-22
23,3.7,10.8,-2,1,2010,2010-01-23
24,4.2,11.8,-3.3,1,2010,2010-01-24
25,5,11.7,-2.6,1,2010,2010-01-25
26,5.4,9.8,0.7,1,2010,2010-01-26
27,3.8,12.3,-4.2,1,2010,2010-01-27
28,7.2,15.9,1,1,2010,2010-01-28
29,5.6,10.3,0.5,1,2010,2010-01-29
30,6.1,13.5,-1.8,1,2010,2010-01-30
31,6.9,13.3,0.5,1,2010,2010-01-31
1,4.3,11.2,-0.6,1,2011,2011-01-01
2,3.6,11.2,-2.2,1,2011,2011-01-02
3,2.6,9.1,-2.3,1,2011,2011-01-03
4,4.5,10,-0.3,1,2011,2011-01-04
5,5.7,11.3,0.6,1,2011,2011-01-05
6,4.3,9.5,-0.5,1,2011,2011-01-06
7,1.9,6.7,-1.8,1,2011,2011-01-07
8,2.8,10.2,-3.4,1,2011,2011-01-08
9,4,13.1,-4.1,1,2011,2011-01-09
10,2.1,6,-1,1,2011,2011-01-10
11,2.4,6.8,-2.5,1,2011,2011-01-11
12,3.7,9.5,-2.4,1,2011,2011-01-12
13,2.8,7.7,-1.1,1,2011,2011-01-13
14,0.9,7.5,-4.8,1,2011,2011-01-14
15,1.5,6.9,-4.8,1,2011,2011-01-15
16,1,6,-2.7,1,2011,2011-01-16
17,3.7,10.6,-2.1,1,2011,2011-01-17
18,2.9,10.5,-4.3,1,2011,2011-01-18
19,3.5,11.5,-3.6,1,2011,2011-01-19
20,3.2,10.1,-2.2,1,2011,2011-01-20
21,3.1,8.3,-0.5,1,2011,2011-01-21
22,3.6,10.9,-2.6,1,2011,2011-01-22
23,3.7,10,-3.2,1,2011,2011-01-23
24,4.3,7.9,0.7,1,2011,2011-01-24
25,3.6,9.8,-2.1,1,2011,2011-01-25
26,3,10,-2.8,1,2011,2011-01-26
27,4,10.6,-1.8,1,2011,2011-01-27
28,2.2,7.8,-2,1,2011,2011-01-28
29,2.4,8,-2,1,2011,2011-01-29
30,1.4,7,-3.9,1,2011,2011-01-30
31,0.6,7.4,-5.6,1,2011,2011-01-31
1,2.6,6.6,-0.6,1,2012,2012-01-01
2,3.5,11.2,-2.2,1,2012,2012-01-02
3,4.7,10.6,-1,1,2012,2012-01-03
4,3.1,9.8,-3.2,1,2012,2012-01-04
5,3.5,9,-2.2,1,2012,2012-01-05
6,3.2,10.3,-2.5,1,2012,2012-01-06
7,4,9,-0.3,1,2012,2012-01-07
8,4,9.4,-0.7,1,2012,2012-01-08
9,3,9.7,-2,1,2012,2012-01-09
10,4.1,9.9,-3,1,2012,2012-01-10
11,4,11.3,-0.1,1,2012,2012-01-11
12,1.7,7.4,-2.5,1,2012,2012-01-12
13,2.6,11.3,-5.3,1,2012,2012-01-13
14,2.7,8.7,-1.8,1,2012,2012-01-14
15,2,7.2,-3.1,1,2012,2012-01-15
16,2.4,4.8,-0.8,1,2012,2012-01-16
17,2.7,7.7,-1.8,1,2012,2012-01-17
18,1.7,9.1,-4.2,1,2012,2012-01-18
19,3.9,10.6,-3,1,2012,2012-01-19
20,1.8,3.7,0.7,1,2012,2012-01-20
21,2.4,3.2,1,1,2012,2012-01-21
22,4.2,8.1,0.3,1,2012,2012-01-22
23,2.9,7.6,-0.6,1,2012,2012-01-23
24,0.8,4.5,-2,1,2012,2012-01-24
25,2.1,8.9,-3.2,1,2012,2012-01-25
26,0.7,5.9,-3.4,1,2012,2012-01-26
27,-0.1,7.3,-5.4,1,2012,2012-01-27
28,0.3,6.1,-4.5,1,2012,2012-01-28
29,0.9,6,-3.8,1,2012,2012-01-29
30,-0.3,6.2,-6,1,2012,2012-01-30
31,1.1,8.3,-5.4,1,2012,2012-01-31
1,3.1,9.9,-1.9,1,2013,2013-01-01
2,6.1,15,-2.9,1,2013,2013-01-02
3,3.4,7.2,-1.2,1,2013,2013-01-03
4,1,6.2,-3.8,1,2013,2013-01-04
5,-0.1,4.7,-4.4,1,2013,2013-01-05
6,2.1,10.8,-6.1,1,2013,2013-01-06
7,2.4,8.9,-2.8,1,2013,2013-01-07
8,3.9,10.9,-1.6,1,2013,2013-01-08
9,4.3,9.2,1.3,1,2013,2013-01-09
10,2.5,8.6,-1.8,1,2013,2013-01-10
11,2.4,8.4,-2.3,1,2013,2013-01-11
12,1.6,8.7,-2.7,1,2013,2013-01-12
13,4.4,13.7,-4.4,1,2013,2013-01-13
14,2.1,5.3,-1,1,2013,2013-01-14
15,3.1,5.5,-0.9,1,2013,2013-01-15
16,0.6,5.3,-3.3,1,2013,2013-01-16
17,0.9,7.4,-5.2,1,2013,2013-01-17
18,0.8,4.8,-4.7,1,2013,2013-01-18
19,2.7,9.7,-3.4,1,2013,2013-01-19
20,3.4,8.6,-3.4,1,2013,2013-01-20
21,4,9.1,-1.8,1,2013,2013-01-21
22,4.5,8.3,1.8,1,2013,2013-01-22
23,4.6,9,-0.1,1,2013,2013-01-23
24,4.2,10,0.8,1,2013,2013-01-24
25,3.3,10.8,-1.8,1,2013,2013-01-25
26,1.3,6.8,-4.4,1,2013,2013-01-26
27,2.6,9.2,-3.8,1,2013,2013-01-27
28,3.8,9.6,0,1,2013,2013-01-28
29,4.8,11.1,-0.4,1,2013,2013-01-29
30,6,13.2,-0.2,1,2013,2013-01-30
31,2.3,9.3,-4.2,1,2013,2013-01-31
1,5.6,15.1,-2.6,1,2014,2014-01-01
2,4.7,12,-1.4,1,2014,2014-01-02
3,2.3,7.7,-1.9,1,2014,2014-01-03
4,4.2,11.5,-1.5,1,2014,2014-01-04
5,4.1,7.1,1.5,1,2014,2014-01-05
6,2.9,10,-3.5,1,2014,2014-01-06
7,2.5,8.7,-4.1,1,2014,2014-01-07
8,4.2,9.2,-2.2,1,2014,2014-01-08
9,6.3,11.6,1.9,1,2014,2014-01-09
10,1.9,6.1,-1.9,1,2014,2014-01-10
11,1.4,9.1,-5.3,1,2014,2014-01-11
12,2.1,9.9,-3.8,1,2014,2014-01-12
13,3.5,7.8,-0.8,1,2014,2014-01-13
14,2.4,8.1,-1.4,1,2014,2014-01-14
15,0.4,4.3,-3,1,2014,2014-01-15
16,1.5,9,-5.9,1,2014,2014-01-16
17,3.4,10,-1.6,1,2014,2014-01-17
