"V1","V2","V3","V4","V5"
"0","2010","New York, NY, USA","3","5"
"-8","2010","New York, NY, USA","-4","1"
"-8","2010","New York, NY, USA","-6","-4"
"-7","2010","New York, NY, USA","-3","0"
"-6","2010","New York, NY, USA","-3","0"
"-3","2010","New York, NY, USA","-1","2"
"-2","2010","New York, NY, USA","2","4"
"-5","2010","New York, NY, USA","-2","1"
"-7","2010","New York, NY, USA","-3","0"
"-10","2010","New York, NY, USA","-6","-1"
"-6","2010","New York, NY, USA","-3","0"
"-4","2010","New York, NY, USA","-1","3"
"-4","2010","New York, NY, USA","-1","2"
"-4","2010","New York, NY, USA","0","4"
"-3","2010","New York, NY, USA","4","10"
"1","2010","New York, NY, USA","5","9"
"-1","2010","New York, NY, USA","3","6"
"2","2010","New York, NY, USA","6","10"
"1","2010","New York, NY, USA","4","8"
"1","2010","New York, NY, USA","4","7"
"-2","2010","New York, NY, USA","2","6"
"0","2010","New York, NY, USA","4","7"
"-3","2010","New York, NY, USA","1","6"
"-3","2010","New York, NY, USA","3","9"
"7","2010","New York, NY, USA","9","12"
"2","2010","New York, NY, USA","5","8"
"-1","2010","New York, NY, USA","2","6"
"-7","2010","New York, NY, USA","0","6"
"-9","2010","New York, NY, USA","-6","-4"
"-10","2010","New York, NY, USA","-8","-7"
"-9","2010","New York, NY, USA","-5","-1"
"-4","2010","New York, NY, USA","-1","3"
"-4","2010","New York, NY, USA","-2","1"
"-2","2010","New York, NY, USA","1","4"
"-2","2010","New York, NY, USA","1","3"
"-2","2010","New York, NY, USA","1","3"
"-6","2010","New York, NY, USA","-3","1"
"-9","2010","New York, NY, USA","-3","2"
"-5","2010","New York, NY, USA","-1","4"
"-2","2010","New York, NY, USA","1","4"
"-1","2010","New York, NY, USA","0","1"
"-2","2010","New York, NY, USA","1","3"
"-4","2010","New York, NY, USA","-1","2"
"-4","2010","New York, NY, USA","-2","0"
"-3","2010","New York, NY, USA","1","4"
"-3","2010","New York, NY, USA","0","3"
"-1","2010","New York, NY, USA","0","1"
"-3","2010","New York, NY, USA","-1","1"
"-1","2010","New York, NY, USA","2","4"
"2","2010","New York, NY, USA","4","6"
"2","2010","New York, NY, USA","4","7"
"1","2010","New York, NY, USA","4","8"
"-2","2010","New York, NY, USA","2","7"
"2","2010","New York, NY, USA","3","4"
"3","2010","New York, NY, USA","4","6"
"-2","2010","New York, NY, USA","1","3"
"-4","2010","New York, NY, USA","-1","1"
"-2","2010","New York, NY, USA","1","3"
"-1","2010","New York, NY, USA","2","4"
"2","2010","New York, NY, USA","6","9"
"1","2010","New York, NY, USA","5","8"
"1","2010","New York, NY, USA","3","5"
"2","2010","New York, NY, USA","6","9"
"1","2010","New York, NY, USA","6","9"
"-1","2010","New York, NY, USA","6","13"
"2","2010","New York, NY, USA","8","15"
"4","2010","New York, NY, USA","11","17"
"4","2010","New York, NY, USA","11","17"
"3","2010","New York, NY, USA","8","12"
"6","2010","New York, NY, USA","9","12"
"6","2010","New York, NY, USA","7","9"
"4","2010","New York, NY, USA","8","11"
"6","2010","New York, NY, USA","8","10"
"6","2010","New York, NY, USA","7","7"
"5","2010","New York, NY, USA","11","17"
"3","2010","New York, NY, USA","10","17"
"4","2010","New York, NY, USA","12","19"
"6","2010","New York, NY, USA","13","21"
"7","2010","New York, NY, USA","14","21"
"7","2010","New York, NY, USA","11","14"
"9","2010","New York, NY, USA","12","14"
"7","2010","New York, NY, USA","9","11"
"6","2010","New York, NY, USA","12","17"
"5","2010","New York, NY, USA","9","12"
"1","2010","New York, NY, USA","7","13"
"-2","2010","New York, NY, USA","2","4"
"2","2010","New York, NY, USA","6","9"
"8","2010","New York, NY, USA","10","11"
"6","2010","New York, NY, USA","9","11"
"7","2010","New York, NY, USA","11","15"
"7","2010","New York, NY, USA","12","17"
"6","2010","New York, NY, USA","11","16"
"7","2010","New York, NY, USA","9","11"
"8","2010","New York, NY, USA","16","23"
"11","2010","New York, NY, USA","16","20"
"11","2010","New York, NY, USA","17","23"
"11","2010","New York, NY, USA","21","31"
"12","2010","New York, NY, USA","16","21"
"8","2010","New York, NY, USA","12","17"
"6","2010","New York, NY, USA","11","17"
"8","2010","New York, NY, USA","16","23"
"8","2010","New York, NY, USA","14","19"
"7","2010","New York, NY, USA","10","13"
"6","2010","New York, NY, USA","12","18"
"9","2010","New York, NY, USA","16","23"
"8","2010","New York, NY, USA","9","11"
"8","2010","New York, NY, USA","11","13"
"7","2010","New York, NY, USA","11","14"
"8","2010","New York, NY, USA","13","17"
"9","2010","New York, NY, USA","14","19"
"8","2010","New York, NY, USA","13","18"
"10","2010","New York, NY, USA","14","19"
"7","2010","New York, NY, USA","14","21"
"9","2010","New York, NY, USA","13","17"
"8","2010","New York, NY, USA","9","11"
"9","2010","New York, NY, USA","11","12"
"6","2010","New York, NY, USA","11","16"
"4","2010","New York, NY, USA","9","14"
"8","2010","New York, NY, USA","15","22"
"10","2010","New York, NY, USA","17","23"
"12","2010","New York, NY, USA","19","27"
"14","2010","New York, NY, USA","19","24"
"16","2010","New York, NY, USA","22","27"
"14","2010","New York, NY, USA","21","27"
"12","2010","New York, NY, USA","18","24"
"12","2010","New York, NY, USA","19","27"
"12","2010","New York, NY, USA","16","20"
"11","2010","New York, NY, USA","18","26"
"7","2010","New York, NY, USA","11","13"
"6","2010","New York, NY, USA","11","17"
"6","2010","New York, NY, USA","10","14"
"7","2010","New York, NY, USA","8","9"
"6","2010","New York, NY, USA","12","17"
"11","2010","New York, NY, USA","18","25"
"16","2010","New York, NY, USA","20","24"
"13","2010","New York, NY, USA","18","23"
"11","2010","New York, NY, USA","18","24"
"11","2010","New York, NY, USA","13","15"
