"V1","V2","V3","V4","V5"
"0","2010","Osaka, Japan","3","6"
"1","2010","Osaka, Japan","4","9"
"4","2010","Osaka, Japan","7","9"
"-2","2010","Osaka, Japan","4","10"
"4","2010","Osaka, Japan","7","8"
"0","2010","Osaka, Japan","4","8"
"0","2010","Osaka, Japan","3","6"
"0","2010","Osaka, Japan","4","9"
"-1","2010","Osaka, Japan","4","9"
"4","2010","Osaka, Japan","7","10"
"2","2010","Osaka, Japan","6","10"
"5","2010","Osaka, Japan","6","7"
"0","2010","Osaka, Japan","2","4"
"-1","2010","Osaka, Japan","2","5"
"-2","2010","Osaka, Japan","3","8"
"0","2010","Osaka, Japan","3","7"
"-3","2010","Osaka, Japan","3","9"
"-2","2010","Osaka, Japan","3","9"
"1","2010","Osaka, Japan","7","13"
"1","2010","Osaka, Japan","8","15"
"5","2010","Osaka, Japan","9","13"
"4","2010","Osaka, Japan","6","8"
"1","2010","Osaka, Japan","4","9"
"1","2010","Osaka, Japan","4","8"
"-1","2010","Osaka, Japan","2","6"
"-1","2010","Osaka, Japan","4","9"
"-2","2010","Osaka, Japan","4","11"
"7","2010","Osaka, Japan","9","11"
"2","2010","Osaka, Japan","6","11"
"1","2010","Osaka, Japan","6","11"
"5","2010","Osaka, Japan","6","7"
"3","2010","Osaka, Japan","4","6"
"2","2010","Osaka, Japan","6","10"
"0","2010","Osaka, Japan","4","8"
"-1","2010","Osaka, Japan","3","7"
"-2","2010","Osaka, Japan","3","8"
"0","2010","Osaka, Japan","3","6"
"-1","2010","Osaka, Japan","4","9"
"2","2010","Osaka, Japan","6","11"
"13","2010","Osaka, Japan","16","18"
"9","2010","Osaka, Japan","13","17"
"5","2010","Osaka, Japan","7","8"
"3","2010","Osaka, Japan","6","7"
"1","2010","Osaka, Japan","6","10"
"1","2010","Osaka, Japan","6","10"
"4","2010","Osaka, Japan","6","8"
"3","2010","Osaka, Japan","7","9"
"1","2010","Osaka, Japan","3","6"
"0","2010","Osaka, Japan","4","9"
"-1","2010","Osaka, Japan","4","10"
"0","2010","Osaka, Japan","4","9"
"1","2010","Osaka, Japan","6","12"
"0","2010","Osaka, Japan","8","16"
"5","2010","Osaka, Japan","11","18"
"6","2010","Osaka, Japan","13","20"
"12","2010","Osaka, Japan","16","21"
"14","2010","Osaka, Japan","14","16"
"10","2010","Osaka, Japan","12","14"
"7","2010","Osaka, Japan","9","11"
"4","2010","Osaka, Japan","9","15"
"9","2010","Osaka, Japan","11","13"
"6","2010","Osaka, Japan","10","14"
"8","2010","Osaka, Japan","10","13"
"12","2010","Osaka, Japan","14","18"
"10","2010","Osaka, Japan","11","12"
"7","2010","Osaka, Japan","8","9"
"5","2010","Osaka, Japan","8","10"
"5","2010","Osaka, Japan","7","8"
"4","2010","Osaka, Japan","6","8"
"1","2010","Osaka, Japan","4","9"
"1","2010","Osaka, Japan","7","14"
"10","2010","Osaka, Japan","12","15"
"3","2010","Osaka, Japan","9","16"
"11","2010","Osaka, Japan","13","17"
"9","2010","Osaka, Japan","13","17"
"5","2010","Osaka, Japan","8","12"
"3","2010","Osaka, Japan","8","13"
"6","2010","Osaka, Japan","9","13"
"5","2010","Osaka, Japan","14","23"
"8","2010","Osaka, Japan","11","15"
"3","2010","Osaka, Japan","8","13"
"8","2010","Osaka, Japan","8","9"
"8","2010","Osaka, Japan","8","9"
"6","2010","Osaka, Japan","7","9"
"2","2010","Osaka, Japan","6","11"
"0","2010","Osaka, Japan","6","11"
"6","2010","Osaka, Japan","10","15"
"2","2010","Osaka, Japan","6","10"
"0","2010","Osaka, Japan","6","11"
"4","2010","Osaka, Japan","10","16"
"11","2010","Osaka, Japan","13","18"
"9","2010","Osaka, Japan","11","14"
"2","2010","Osaka, Japan","8","14"
"2","2010","Osaka, Japan","10","18"
"10","2010","Osaka, Japan","15","20"
"9","2010","Osaka, Japan","16","22"
"8","2010","Osaka, Japan","9","11"
"6","2010","Osaka, Japan","11","17"
"11","2010","Osaka, Japan","14","18"
"13","2010","Osaka, Japan","18","24"
"15","2010","Osaka, Japan","19","23"
"14","2010","Osaka, Japan","16","18"
"13","2010","Osaka, Japan","17","19"
"7","2010","Osaka, Japan","10","14"
"6","2010","Osaka, Japan","8","10"
"7","2010","Osaka, Japan","8","10"
"7","2010","Osaka, Japan","11","15"
"5","2010","Osaka, Japan","11","18"
"11","2010","Osaka, Japan","16","20"
"13","2010","Osaka, Japan","14","17"
"13","2010","Osaka, Japan","18","20"
"10","2010","Osaka, Japan","11","13"
"9","2010","Osaka, Japan","11","13"
"5","2010","Osaka, Japan","10","15"
"3","2010","Osaka, Japan","10","17"
"6","2010","Osaka, Japan","13","21"
"14","2010","Osaka, Japan","16","17"
"11","2010","Osaka, Japan","16","20"
"11","2010","Osaka, Japan","13","16"
"9","2010","Osaka, Japan","13","18"
"7","2010","Osaka, Japan","13","20"
"8","2010","Osaka, Japan","14","22"
"10","2010","Osaka, Japan","18","25"
"17","2010","Osaka, Japan","21","26"
"16","2010","Osaka, Japan","22","28"
"19","2010","Osaka, Japan","22","26"
"17","2010","Osaka, Japan","18","20"
"9","2010","Osaka, Japan","17","24"
"14","2010","Osaka, Japan","20","26"
"16","2010","Osaka, Japan","18","20"
"15","2010","Osaka, Japan","17","19"
"12","2010","Osaka, Japan","14","18"
"11","2010","Osaka, Japan","16","20"
"11","2010","Osaka, Japan","14","18"
"9","2010","Osaka, Japan","16","22"
"11","2010","Osaka, Japan","17","24"
"14","2010","Osaka, Japan","20","26"
"19","2010","Osaka, Japan","22","26"
"19","2010","Osaka, Japan","20","22"
"20","2010","Osaka, Japan","23","26"
"16","2010","Osaka, Japan","21","27"
"16","2010","Osaka, Japan","23","30"
"16","2010","Osaka, Japan","17","18"
"18","2010","Osaka, Japan","19","21"
"15","2010","Osaka, Japan","20","25"
"16","2010","Osaka, Japan","18","21"
"14","2010","Osaka, Japan","17","18"
"12","2010","Osaka, Japan","16","20"
"13","2010","Osaka, Japan","18","23"
"12","2010","Osaka, Japan","18","24"
"14","2010","Osaka, Japan","19","25"
"16","2010","Osaka, Japan","21","26"
"15","2010","Osaka, Japan","21","27"
"17","2010","Osaka, Japan","22","27"
"15","2010","Osaka, Japan","21","28"
"16","2010","Osaka, Japan","23","30"
"15","2010","Osaka, Japan","22","29"
"19","2010","Osaka, Japan","21","24"
"21","2010","Osaka, Japan","22","24"
"19","2010","Osaka, Japan","23","28"
"17","2010","Osaka, Japan","23","30"
"17","2010","Osaka, Japan","23","30"
"21","2010","Osaka, Japan","24","29"
"19","2010","Osaka, Japan","21","23"
"19","2010","Osaka, Japan","23","27"
"22","2010","Osaka, Japan","23","24"
"23","2010","Osaka, Japan","26","28"
"20","2010","Osaka, Japan","26","32"
"22","2010","Osaka, Japan","23","26"
"22","2010","Osaka, Japan","24","28"
"24","2010","Osaka, Japan","26","27"
"23","2010","Osaka, Japan","24","27"
"22","2010","Osaka, Japan","26","30"
"22","2010","Osaka, Japan","23","26"
"20","2010","Osaka, Japan","25","30"
"19","2010","Osaka, Japan","22","26"
"23","2010","Osaka, Japan","24","26"
"25","2010","Osaka, Japan","27","29"
"25","2010","Osaka, Japan","28","32"
"25","2010","Osaka, Japan","28","31"
"24","2010","Osaka, Japan","27","31"
"24","2010","Osaka, Japan","28","32"
"24","2010","Osaka, Japan","27","30"
"24","2010","Osaka, Japan","24","26"
"25","2010","Osaka, Japan","28","32"
"24","2010","Osaka, Japan","28","32"
"25","2010","Osaka, Japan","28","32"
"23","2010","Osaka, Japan","27","31"
"23","2010","Osaka, Japan","28","33"
"22","2010","Osaka, Japan","23","26"
"20","2010","Osaka, Japan","26","31"
"24","2010","Osaka, Japan","26","27"
"25","2010","Osaka, Japan","27","28"
"24","2010","Osaka, Japan","26","28"
"23","2010","Osaka, Japan","24","26"
"24","2010","Osaka, Japan","27","29"
"25","2010","Osaka, Japan","28","32"
"25","2010","Osaka, Japan","28","32"
"25","2010","Osaka, Japan","29","33"
"25","2010","Osaka, Japan","29","33"
"26","2010","Osaka, Japan","30","34"
"24","2010","Osaka, Japan","29","34"
"24","2010","Osaka, Japan","29","35"
"26","2010","Osaka, Japan","30","35"
"26","2010","Osaka, Japan","30","35"
"27","2010","Osaka, Japan","32","38"
"27","2010","Osaka, Japan","31","35"
"27","2010","Osaka, Japan","30","34"
"27","2010","Osaka, Japan","30","33"
"23","2010","Osaka, Japan","26","28"
"26","2010","Osaka, Japan","29","33"
"27","2010","Osaka, Japan","30","33"
"26","2010","Osaka, Japan","30","34"
"27","2010","Osaka, Japan","31","36"
"26","2010","Osaka, Japan","30","35"
"27","2010","Osaka, Japan","31","35"
"28","2010","Osaka, Japan","31","35"
"26","2010","Osaka, Japan","30","35"
"26","2010","Osaka, Japan","29","32"
"25","2010","Osaka, Japan","29","34"
"26","2010","Osaka, Japan","29","32"
"25","2010","Osaka, Japan","29","33"
"25","2010","Osaka, Japan","29","34"
"26","2010","Osaka, Japan","28","31"
"25","2010","Osaka, Japan","29","34"
"28","2010","Osaka, Japan","29","31"
"28","2010","Osaka, Japan","30","33"
"28","2010","Osaka, Japan","31","34"
"26","2010","Osaka, Japan","30","35"
"26","2010","Osaka, Japan","31","37"
"28","2010","Osaka, Japan","32","37"
"27","2010","Osaka, Japan","32","37"
"27","2010","Osaka, Japan","31","36"
"27","2010","Osaka, Japan","31","35"
"27","2010","Osaka, Japan","31","36"
"28","2010","Osaka, Japan","32","36"
"28","2010","Osaka, Japan","31","35"
"27","2010","Osaka, Japan","31","35"
"27","2010","Osaka, Japan","32","37"
"27","2010","Osaka, Japan","32","38"
"26","2010","Osaka, Japan","31","37"
"28","2010","Osaka, Japan","31","34"
"28","2010","Osaka, Japan","32","36"
"27","2010","Osaka, Japan","31","35"
"27","2010","Osaka, Japan","31","36"
"26","2010","Osaka, Japan","31","36"
"27","2010","Osaka, Japan","31","36"
"26","2010","Osaka, Japan","31","36"
"27","2010","Osaka, Japan","30","34"
"28","2010","Osaka, Japan","31","34"
"27","2010","Osaka, Japan","29","32"
"23","2010","Osaka, Japan","28","34"
"22","2010","Osaka, Japan","27","33"
"25","2010","Osaka, Japan","29","34"
"26","2010","Osaka, Japan","30","35"
"27","2010","Osaka, Japan","30","33"
"22","2010","Osaka, Japan","27","32"
"23","2010","Osaka, Japan","26","29"
"22","2010","Osaka, Japan","26","29"
"20","2010","Osaka, Japan","26","32"
"20","2010","Osaka, Japan","26","31"
"21","2010","Osaka, Japan","26","32"
"23","2010","Osaka, Japan","26","29"
"25","2010","Osaka, Japan","28","32"
"24","2010","Osaka, Japan","28","33"
"20","2010","Osaka, Japan","22","25"
"19","2010","Osaka, Japan","21","24"
"19","2010","Osaka, Japan","23","27"
"16","2010","Osaka, Japan","21","27"
"19","2010","Osaka, Japan","22","26"
"20","2010","Osaka, Japan","23","27"
"16","2010","Osaka, Japan","20","25"
"17","2010","Osaka, Japan","18","19"
"16","2010","Osaka, Japan","22","28"
"17","2010","Osaka, Japan","23","29"
"20","2010","Osaka, Japan","23","26"
"19","2010","Osaka, Japan","22","24"
"16","2010","Osaka, Japan","20","25"
"14","2010","Osaka, Japan","19","25"
"14","2010","Osaka, Japan","20","27"
"17","2010","Osaka, Japan","23","29"
"18","2010","Osaka, Japan","19","20"
"19","2010","Osaka, Japan","22","26"
"18","2010","Osaka, Japan","22","27"
"18","2010","Osaka, Japan","22","27"
"17","2010","Osaka, Japan","21","26"
"17","2010","Osaka, Japan","21","26"
"18","2010","Osaka, Japan","22","26"
"16","2010","Osaka, Japan","19","23"
"14","2010","Osaka, Japan","19","24"
"13","2010","Osaka, Japan","19","25"
"15","2010","Osaka, Japan","19","24"
"20","2010","Osaka, Japan","22","24"
"19","2010","Osaka, Japan","21","22"
"17","2010","Osaka, Japan","19","22"
"15","2010","Osaka, Japan","19","24"
"17","2010","Osaka, Japan","19","22"
"18","2010","Osaka, Japan","19","21"
