"V1","V2","V3","V4","V5"
"4","2010","Portland, OR, USA","8","12"
"5","2010","Portland, OR, USA","8","12"
"4","2010","Portland, OR, USA","6","8"
"5","2010","Portland, OR, USA","6","7"
"6","2010","Portland, OR, USA","7","8"
"5","2010","Portland, OR, USA","7","8"
"4","2010","Portland, OR, USA","6","7"
"3","2010","Portland, OR, USA","4","6"
"3","2010","Portland, OR, USA","5","7"
"2","2010","Portland, OR, USA","5","8"
"4","2010","Portland, OR, USA","6","8"
"4","2010","Portland, OR, USA","7","8"
"6","2010","Portland, OR, USA","8","11"
"4","2010","Portland, OR, USA","8","11"
"7","2010","Portland, OR, USA","10","12"
"7","2010","Portland, OR, USA","8","9"
"8","2010","Portland, OR, USA","11","13"
"4","2010","Portland, OR, USA","9","14"
"7","2010","Portland, OR, USA","11","14"
"4","2010","Portland, OR, USA","8","11"
"4","2010","Portland, OR, USA","9","13"
"4","2010","Portland, OR, USA","7","9"
"3","2010","Portland, OR, USA","7","11"
"4","2010","Portland, OR, USA","6","7"
"3","2010","Portland, OR, USA","6","8"
"3","2010","Portland, OR, USA","7","11"
"3","2010","Portland, OR, USA","7","11"
"7","2010","Portland, OR, USA","10","13"
"7","2010","Portland, OR, USA","8","10"
"5","2010","Portland, OR, USA","7","8"
"4","2010","Portland, OR, USA","8","11"
"2","2010","Portland, OR, USA","5","7"
"4","2010","Portland, OR, USA","8","12"
"5","2010","Portland, OR, USA","7","9"
"6","2010","Portland, OR, USA","8","11"
"6","2010","Portland, OR, USA","9","13"
"5","2010","Portland, OR, USA","8","12"
"3","2010","Portland, OR, USA","8","12"
"0","2010","Portland, OR, USA","6","11"
"2","2010","Portland, OR, USA","8","13"
"2","2010","Portland, OR, USA","4","6"
"6","2010","Portland, OR, USA","8","11"
"5","2010","Portland, OR, USA","9","13"
"7","2010","Portland, OR, USA","9","11"
"7","2010","Portland, OR, USA","10","13"
"5","2010","Portland, OR, USA","9","13"
"5","2010","Portland, OR, USA","10","15"
"3","2010","Portland, OR, USA","9","15"
"6","2010","Portland, OR, USA","11","16"
"2","2010","Portland, OR, USA","9","15"
"-1","2010","Portland, OR, USA","7","14"
"-1","2010","Portland, OR, USA","6","13"
"-3","2010","Portland, OR, USA","5","13"
"2","2010","Portland, OR, USA","6","8"
"5","2010","Portland, OR, USA","9","13"
"6","2010","Portland, OR, USA","9","13"
"8","2010","Portland, OR, USA","11","12"
"7","2010","Portland, OR, USA","11","14"
"6","2010","Portland, OR, USA","11","15"
"5","2010","Portland, OR, USA","10","15"
"5","2010","Portland, OR, USA","9","12"
"4","2010","Portland, OR, USA","8","12"
"3","2010","Portland, OR, USA","8","13"
"4","2010","Portland, OR, USA","9","14"
"2","2010","Portland, OR, USA","11","19"
"3","2010","Portland, OR, USA","8","13"
"3","2010","Portland, OR, USA","7","11"
"1","2010","Portland, OR, USA","6","9"
"3","2010","Portland, OR, USA","7","10"
"5","2010","Portland, OR, USA","8","11"
"4","2010","Portland, OR, USA","7","10"
"3","2010","Portland, OR, USA","7","11"
"1","2010","Portland, OR, USA","8","14"
"6","2010","Portland, OR, USA","12","18"
"8","2010","Portland, OR, USA","12","16"
"5","2010","Portland, OR, USA","9","13"
"-1","2010","Portland, OR, USA","8","16"
"1","2010","Portland, OR, USA","10","18"
"7","2010","Portland, OR, USA","14","21"
"8","2010","Portland, OR, USA","12","14"
"6","2010","Portland, OR, USA","9","13"
"3","2010","Portland, OR, USA","10","17"
"5","2010","Portland, OR, USA","13","20"
"7","2010","Portland, OR, USA","10","12"
"6","2010","Portland, OR, USA","9","13"
"3","2010","Portland, OR, USA","11","18"
"8","2010","Portland, OR, USA","11","13"
"4","2010","Portland, OR, USA","8","11"
"4","2010","Portland, OR, USA","6","8"
"4","2010","Portland, OR, USA","8","11"
"3","2010","Portland, OR, USA","8","12"
"4","2010","Portland, OR, USA","8","11"
"3","2010","Portland, OR, USA","7","9"
"4","2010","Portland, OR, USA","8","12"
"2","2010","Portland, OR, USA","7","11"
"6","2010","Portland, OR, USA","9","13"
"6","2010","Portland, OR, USA","9","12"
"3","2010","Portland, OR, USA","7","10"
"4","2010","Portland, OR, USA","8","12"
"1","2010","Portland, OR, USA","9","16"
