"day","mean.temp","high","low","month","year","date"
1,-0.1,4.2,-3.4,1,2010,2010-01-01
2,1.9,7.4,-3.4,1,2010,2010-01-02
3,2.7,7.4,-3.8,1,2010,2010-01-03
4,3.4,12,-4.8,1,2010,2010-01-04
5,4.5,8.5,-1.2,1,2010,2010-01-05
6,1.1,6.9,-5.1,1,2010,2010-01-06
7,0.8,6,-4.2,1,2010,2010-01-07
8,0.8,7.7,-5,1,2010,2010-01-08
9,0.8,7.9,-5.4,1,2010,2010-01-09
10,3.8,8.9,-0.8,1,2010,2010-01-10
11,4.1,9.6,-1.2,1,2010,2010-01-11
12,3.8,5.5,1.2,1,2010,2010-01-12
13,-0.7,2,-3.1,1,2010,2010-01-13
14,-0.9,3.9,-5.4,1,2010,2010-01-14
15,-0.8,6.6,-6.8,1,2010,2010-01-15
16,-0.1,5.2,-4.3,1,2010,2010-01-16
17,0.2,8.5,-6.6,1,2010,2010-01-17
18,0.9,9.2,-6.1,1,2010,2010-01-18
19,3.1,12.6,-4.1,1,2010,2010-01-19
20,6.9,15.5,-3.3,1,2010,2010-01-20
21,7.7,11.3,2.8,1,2010,2010-01-21
22,3.3,8.6,-0.6,1,2010,2010-01-22
23,1.3,7,-3.2,1,2010,2010-01-23
24,0.7,8,-5.1,1,2010,2010-01-24
25,0.4,6.1,-4.5,1,2010,2010-01-25
26,1.5,8,-3.3,1,2010,2010-01-26
27,2.8,10.5,-5.9,1,2010,2010-01-27
28,9,13.2,1.5,1,2010,2010-01-28
29,3.2,9.9,-1.6,1,2010,2010-01-29
30,3,10.2,-2.7,1,2010,2010-01-30
31,4.2,6.7,0.9,1,2010,2010-01-31
1,0.7,5,-3.9,1,2011,2011-01-01
2,1.3,6.9,-2.8,1,2011,2011-01-02
3,1.2,7.6,-3.7,1,2011,2011-01-03
4,2,8.4,-2.8,1,2011,2011-01-04
5,0.6,6.7,-4.9,1,2011,2011-01-05
6,1.9,6.3,-1.3,1,2011,2011-01-06
7,-0.1,4.1,-3.9,1,2011,2011-01-07
8,-0.1,7.7,-6.2,1,2011,2011-01-08
9,1.5,8,-4.5,1,2011,2011-01-09
