"V1","V2","V3","V4","V5"
"-4","2010","Tokyo, Japan","2","8"
"-2","2010","Tokyo, Japan","4","11"
"-3","2010","Tokyo, Japan","3","9"
"-5","2010","Tokyo, Japan","2","9"
"1","2010","Tokyo, Japan","7","13"
"1","2010","Tokyo, Japan","4","9"
"0","2010","Tokyo, Japan","5","10"
"-2","2010","Tokyo, Japan","4","10"
"-2","2010","Tokyo, Japan","4","10"
"-2","2010","Tokyo, Japan","4","11"
"-2","2010","Tokyo, Japan","2","6"
"0","2010","Tokyo, Japan","2","4"
"-5","2010","Tokyo, Japan","1","7"
"-6","2010","Tokyo, Japan","0","6"
"-6","2010","Tokyo, Japan","0","7"
"-4","2010","Tokyo, Japan","1","6"
"-6","2010","Tokyo, Japan","0","7"
"-5","2010","Tokyo, Japan","1","8"
"-4","2010","Tokyo, Japan","4","13"
"-1","2010","Tokyo, Japan","7","16"
"5","2010","Tokyo, Japan","11","17"
"2","2010","Tokyo, Japan","6","9"
"-2","2010","Tokyo, Japan","3","9"
"-4","2010","Tokyo, Japan","3","10"
"-3","2010","Tokyo, Japan","6","14"
"-3","2010","Tokyo, Japan","3","9"
"-6","2010","Tokyo, Japan","3","12"
"4","2010","Tokyo, Japan","9","15"
"1","2010","Tokyo, Japan","6","10"
"0","2010","Tokyo, Japan","7","13"
"1","2010","Tokyo, Japan","7","13"
"0","2010","Tokyo, Japan","5","10"
"0","2010","Tokyo, Japan","4","8"
"-1","2010","Tokyo, Japan","2","6"
"-4","2010","Tokyo, Japan","0","5"
"-5","2010","Tokyo, Japan","2","9"
"-4","2010","Tokyo, Japan","1","6"
"-6","2010","Tokyo, Japan","1","9"
"-4","2010","Tokyo, Japan","3","11"
"1","2010","Tokyo, Japan","11","21"
"5","2010","Tokyo, Japan","8","12"
"1","2010","Tokyo, Japan","3","5"
"1","2010","Tokyo, Japan","2","4"
"0","2010","Tokyo, Japan","1","3"
"-2","2010","Tokyo, Japan","2","7"
"3","2010","Tokyo, Japan","4","7"
"1","2010","Tokyo, Japan","3","4"
"0","2010","Tokyo, Japan","2","4"
"-1","2010","Tokyo, Japan","2","4"
"-4","2010","Tokyo, Japan","1","7"
"-3","2010","Tokyo, Japan","3","11"
"-2","2010","Tokyo, Japan","3","8"
"2","2010","Tokyo, Japan","6","10"
"0","2010","Tokyo, Japan","8","15"
"3","2010","Tokyo, Japan","9","15"
"2","2010","Tokyo, Japan","10","19"
"14","2010","Tokyo, Japan","17","19"
"6","2010","Tokyo, Japan","10","15"
"1","2010","Tokyo, Japan","3","6"
"1","2010","Tokyo, Japan","8","15"
"2","2010","Tokyo, Japan","4","6"
"2","2010","Tokyo, Japan","7","12"
"3","2010","Tokyo, Japan","6","9"
"5","2010","Tokyo, Japan","11","17"
"8","2010","Tokyo, Japan","9","11"
"2","2010","Tokyo, Japan","4","8"
"1","2010","Tokyo, Japan","3","7"
"0","2010","Tokyo, Japan","3","6"
"1","2010","Tokyo, Japan","7","13"
"2","2010","Tokyo, Japan","7","12"
"1","2010","Tokyo, Japan","8","16"
"7","2010","Tokyo, Japan","13","20"
"2","2010","Tokyo, Japan","7","13"
"3","2010","Tokyo, Japan","10","17"
"9","2010","Tokyo, Japan","17","25"
"6","2010","Tokyo, Japan","8","11"
"5","2010","Tokyo, Japan","8","11"
"4","2010","Tokyo, Japan","7","11"
"5","2010","Tokyo, Japan","13","21"
"6","2010","Tokyo, Japan","12","19"
"4","2010","Tokyo, Japan","8","13"
"7","2010","Tokyo, Japan","9","12"
"3","2010","Tokyo, Japan","6","9"
"3","2010","Tokyo, Japan","4","6"
"4","2010","Tokyo, Japan","7","10"
"2","2010","Tokyo, Japan","6","11"
"4","2010","Tokyo, Japan","4","6"
"-1","2010","Tokyo, Japan","2","6"
"-2","2010","Tokyo, Japan","3","9"
"0","2010","Tokyo, Japan","8","15"
"4","2010","Tokyo, Japan","12","21"
"9","2010","Tokyo, Japan","14","21"
"6","2010","Tokyo, Japan","10","14"
"4","2010","Tokyo, Japan","7","11"
"6","2010","Tokyo, Japan","9","13"
"9","2010","Tokyo, Japan","14","19"
"7","2010","Tokyo, Japan","11","16"
"4","2010","Tokyo, Japan","7","11"
"3","2010","Tokyo, Japan","8","14"
"8","2010","Tokyo, Japan","13","18"
"13","2010","Tokyo, Japan","18","23"
"6","2010","Tokyo, Japan","9","13"
"6","2010","Tokyo, Japan","13","21"
"9","2010","Tokyo, Japan","12","16"
"4","2010","Tokyo, Japan","6","8"
"3","2010","Tokyo, Japan","4","6"
"1","2010","Tokyo, Japan","4","8"
"4","2010","Tokyo, Japan","10","16"
"7","2010","Tokyo, Japan","12","18"
"11","2010","Tokyo, Japan","14","18"
"12","2010","Tokyo, Japan","18","24"
"6","2010","Tokyo, Japan","9","12"
"6","2010","Tokyo, Japan","7","8"
"5","2010","Tokyo, Japan","9","13"
"1","2010","Tokyo, Japan","8","16"
"5","2010","Tokyo, Japan","11","18"
"8","2010","Tokyo, Japan","12","16"
"12","2010","Tokyo, Japan","14","17"
"11","2010","Tokyo, Japan","17","24"
"9","2010","Tokyo, Japan","14","19"
"7","2010","Tokyo, Japan","13","20"
